mean,std,max,non_zero_fraction,percentile_75,user_id
15.443833333333334,37.55078281708008,167.34,0.8836633663366337,0.0,1
15.080605263157896,37.49764113869961,167.34,0.8824257425742574,0.0,1
20.73767543859649,43.626343842982266,167.34,0.8898514851485149,0.0,1
26.394701754385967,61.56679442915593,304.52,0.8898514851485149,0.0,1
27.838903508771928,60.90971247877668,304.52,0.8960396039603961,11.66275,1
29.28287719298246,62.16283545259908,304.52,0.8960396039603961,23.0755,1
28.907552631578948,61.94876158441215,304.52,0.8960396039603961,23.0755,1
28.532236842105263,61.99352813956629,304.52,0.8948019801980198,0.75,1
29.56836842105264,61.31494354563705,293.33,0.8972772277227723,30.9305,1
30.604491228070177,61.805141685075945,282.14,0.8972772277227723,36.58925,1
31.527289473684213,58.51386517555237,269.71,0.9047029702970296,51.97975,1
32.45027192982456,57.205087135361815,257.29,0.9047029702970296,62.192,1
